target,component,shaft,sensors,rho,spec,spec_xshaft,n_deg,n_heal,n_xheal
fan_eff_mod,fan,LP,Wf+Nc+Ps30,0.04850148400483694,-0.24402953214140588,-0.26133787573262435,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+P40,-0.2054138111997266,-0.01405176690555443,-0.041128345795278465,262,535,450
fan_eff_mod,fan,LP,Wf+Nc+P50,-0.05643879444084392,-0.01085072572098933,-0.1160096796923964,262,535,450
fan_eff_mod,fan,LP,Wf+T24+T30,0.21713458247352768,-0.03822195926757255,-0.10194390250598784,262,535,450
fan_eff_mod,fan,LP,Wf+T24+T48,0.29659112943910443,0.12720166943570965,0.11633329572966655,262,535,450
fan_eff_mod,fan,LP,Wf+T24+T50,0.24794505263259708,0.22191144917796202,0.1978214235094985,262,535,450
fan_eff_mod,fan,LP,Wf+T24+P15,0.00409501629366172,-0.0227648585253315,-0.08550528056064999,262,535,450
fan_eff_mod,fan,LP,Wf+T24+P21,0.004019590250844293,-0.022742757683713366,-0.08548182396643944,262,535,450
fan_eff_mod,fan,LP,Wf+T24+P24,0.28397032079399614,-0.10917379794284043,-0.22143209003219333,262,535,450
fan_eff_mod,fan,LP,Wf+T24+Ps30,0.15885244530963816,0.030385553564621692,-0.04543773324193223,262,535,450
fan_eff_mod,fan,LP,Wf+T24+P40,0.3491717729424657,-0.08719439267461815,-0.1422116070727808,262,535,450
fan_eff_mod,fan,LP,Wf+T24+P50,0.054775438427395184,-0.9372874982913664,-1.137938933045683,262,535,450
fan_eff_mod,fan,LP,Wf+T30+T48,0.4363735124214178,0.25911442543029395,0.2950547610129949,262,535,450
fan_eff_mod,fan,LP,Wf+T30+T50,0.15459732806414359,0.1862586083383787,0.23250039364723074,262,535,450
fan_eff_mod,fan,LP,Wf+T30+P15,0.34813600628032815,-0.02014345135697737,-0.1355406538705195,262,535,450
fan_eff_mod,fan,LP,Wf+T30+P21,0.3481489139696153,-0.020258227683553454,-0.13566841353492864,262,535,450
fan_eff_mod,fan,LP,Wf+T30+P24,0.21973583165938448,-0.25185391191798256,-0.2906730680129106,262,535,450
fan_eff_mod,fan,LP,Wf+T30+Ps30,0.14537226029486494,-0.011435784482970446,-0.10717259759287057,262,535,450
fan_eff_mod,fan,LP,Wf+T30+P40,0.02608804052796182,0.16042961246006449,0.14647936148799745,262,535,450
fan_eff_mod,fan,LP,Wf+T30+P50,0.2155772583290318,-0.06894796297075478,-0.17500805895384564,262,535,450
fan_eff_mod,fan,LP,Wf+T48+T50,-0.05424737069452373,0.05259581701810834,0.04128234123228658,262,535,450
fan_eff_mod,fan,LP,Wf+T48+P15,0.024927171082215163,-0.38581300526782947,-0.5220120697487902,262,535,450
fan_eff_mod,fan,LP,Wf+T48+P21,0.024976650111354463,-0.38579161014633834,-0.5219885718937907,262,535,450
fan_eff_mod,fan,LP,Wf+T48+P24,0.10982298350240788,0.03012697484110305,-0.01571101718454071,262,535,450
fan_eff_mod,fan,LP,Wf+T48+Ps30,0.05583192869639855,-0.12614569064386205,-0.11724104503336208,262,535,450
fan_eff_mod,fan,LP,Wf+T48+P40,0.15535164874653784,-0.2263195476129991,-0.21363965952786645,262,535,450
fan_eff_mod,fan,LP,Wf+T48+P50,0.23525612469377657,-0.0816287889414038,-0.20341149887168064,262,535,450
fan_eff_mod,fan,LP,Wf+T50+P15,0.37106550535112004,0.1294033538236251,0.06677906186819138,262,535,450
fan_eff_mod,fan,LP,Wf+T50+P21,0.37107530944657835,0.1295752207682459,0.06696329165134329,262,535,450
fan_eff_mod,fan,LP,Wf+T50+P24,0.1806137604841705,0.09708723621024418,0.024718522703144896,262,535,450
fan_eff_mod,fan,LP,Wf+T50+Ps30,-0.5061769918841508,0.3074219088992527,0.27679346949466743,262,535,450
fan_eff_mod,fan,LP,Wf+T50+P40,-0.24429965264112943,0.11406307503020785,0.10527277670868862,262,535,450
fan_eff_mod,fan,LP,Wf+T50+P50,0.3207001474433842,0.08780765116226052,0.01565071155646558,262,535,450
fan_eff_mod,fan,LP,Wf+P15+P21,-0.05014091454456468,-0.6187852781777781,-0.8255009942761151,262,535,450
fan_eff_mod,fan,LP,Wf+P15+P24,0.027355868438698402,-0.06868501787024472,-0.13337628037394644,262,535,450
fan_eff_mod,fan,LP,Wf+P15+Ps30,0.09057190641635517,0.010672129528101704,0.09728157524324332,262,535,450
fan_eff_mod,fan,LP,Wf+P15+P40,0.19113629083693356,-0.28924618557036186,-0.3808365729425376,262,535,450
fan_eff_mod,fan,LP,Wf+P15+P50,0.14852629534836115,0.167979679932042,0.10042513299642408,262,535,450
fan_eff_mod,fan,LP,Wf+P21+P24,0.027295178414730725,-0.06823570760736186,-0.13289977178051737,262,535,450
fan_eff_mod,fan,LP,Wf+P21+Ps30,0.09059704804769168,0.010451074959416218,0.09707987261435824,262,535,450
fan_eff_mod,fan,LP,Wf+P21+P40,0.3325998028472201,-0.3964786523063981,-0.5132151624186712,262,535,450
fan_eff_mod,fan,LP,Wf+P21+P50,0.14850379347483117,0.16776345914794577,0.10019135651484756,262,535,450
